V_CM,V_the,V_.,V_a,V_and,V_of,V_to,V_DQ,V_is,V_in,V_s,V_QU,V_it,V_that,V_-,V_),V_(,V_as,V_with,V_for,V_his,V_this,V_film,V_i,V_he,V_but,V_on,V_are,V_t,V_by,V_be,V_one,V_movie,V_an,V_who,V_not,V_you,V_from,V_at,V_was,V_have,V_they,V_has,V_her,V_all,V_?,V_there,V_like,V_so,V_out,V_about,V_up,V_more,V_what,V_when,V_which,V_or,V_she,V_their,V_:,V_some,V_just,V_can,V_if,V_we,V_him,V_into,V_even,V_only,V_than,V_no,V_good,V_time,V_most,V_its,V_will,V_story,V_would,V_been,V_much,V_character,V_also,V_get,V_other,V_do,V_two,V_well,V_them,V_very,V_characters,V_;,V_first,V_--,V_after,V_see,V_!,V_way,V_because,V_make,V_life,V_off,V_too,V_any,V_does,V_really,V_had,V_while,V_films,V_how,V_plot,V_little,V_where,V_people,V_over,V_could,V_then,V_me,V_scene,V_man,V_bad,V_my,V_never,V_being,V_best,V_these,V_don,V_new,V_doesn,V_scenes,V_many,V_director,V_such,V_know,V_were,V_movies,V_through,V_here,V_action,V_great,V_re,V_another,V_love,V_go,V_made,V_us,V_big,V_end,V_something,V_back,V_*,V_still,V_world,V_seems,V_work,V_those,V_makes,V_now,V_before,V_however,V_between,V_few,V_/,V_down,V_every,V_though,V_better,V_real,V_audience,V_enough,V_seen,V_take,V_around,V_both,V_going,V_year,V_performance,V_why,V_should,V_role,V_isn,V_same,V_old,V_gets,V_your,V_may,V_things,V_think,V_years,V_last,V_comedy,V_funny,V_actually,V_ve,V_long,V_look,V_almost,V_own,V_thing,V_fact,V_nothing,class
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,True,True,True,neg
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,False,pos
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,pos
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,pos
True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,pos
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,neg
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,False,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,pos
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,neg
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,pos
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,True,False,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,True,True,True,False,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,True,True,True,False,pos
True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,pos
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,pos
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,False,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,True,True,True,True,neg
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,True,True,False,True,True,False,True,True,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,pos
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True,True,False,False,False,True,False,True,True,False,True,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,True,True,False,True,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,pos
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,pos
